,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.5490062797589995,0.7574786324786325,0.6984126984126984,0.6111111111111112,0.9038461538461539
1,0.5967623950328608,0.7938034188034189,0.7536231884057971,0.7222222222222222,0.8653846153846154
2,0.3744212736895304,0.6773504273504274,0.5937499999999999,0.5277777777777778,0.8269230769230769
3,0.5330972991364489,0.7703296703296704,0.7297297297297296,0.7714285714285715,0.7692307692307693
4,0.5439051151891199,0.7706043956043955,0.7246376811594202,0.7142857142857143,0.8269230769230769
5,0.5635445125120265,0.7708791208791208,0.71875,0.6571428571428571,0.8846153846153846
6,0.506279543735381,0.756043956043956,0.7123287671232877,0.7428571428571429,0.7692307692307693
7,0.5290681224198713,0.7680672268907562,0.7297297297297296,0.7714285714285715,0.7647058823529411
8,0.6125948245572653,0.7893557422969187,0.7419354838709677,0.6571428571428571,0.9215686274509803
9,0.5611789729699638,0.7742296918767507,0.7272727272727272,0.6857142857142857,0.8627450980392157
